x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.857858e+00   3.239902e-19   3.239902e-19   3.239902e-18   3.240102e-18   9.719707e-19   9.719707e-19
-5.000000e+00   -5.856857e+00   3.249646e-19   3.249646e-19   3.249646e-18   3.249847e-18   9.748939e-19   9.748939e-19
-5.000000e+00   -5.855856e+00   3.259420e-19   3.259420e-19   3.259420e-18   3.259621e-18   9.778259e-19   9.778259e-19
-5.000000e+00   -5.854855e+00   3.269223e-19   3.269223e-19   3.269223e-18   3.269424e-18   9.807668e-19   9.807668e-19
-5.000000e+00   -5.853854e+00   3.279055e-19   3.279055e-19   3.279055e-18   3.279257e-18   9.837164e-19   9.837164e-19
-5.000000e+00   -5.852853e+00   3.288917e-19   3.288917e-19   3.288917e-18   3.289120e-18   9.866750e-19   9.866750e-19
-5.000000e+00   -5.851852e+00   3.298808e-19   3.298808e-19   3.298808e-18   3.299012e-18   9.896424e-19   9.896424e-19
-5.000000e+00   -5.850851e+00   3.308729e-19   3.308729e-19   3.308729e-18   3.308933e-18   9.926188e-19   9.926188e-19
-5.000000e+00   -5.849850e+00   3.318680e-19   3.318680e-19   3.318680e-18   3.318885e-18   9.956041e-19   9.956041e-19
-5.000000e+00   -5.848849e+00   3.328661e-19   3.328661e-19   3.328661e-18   3.328867e-18   9.985984e-19   9.985984e-19
-5.000000e+00   -5.847848e+00   3.338672e-19   3.338672e-19   3.338672e-18   3.338878e-18   1.001602e-18   1.001602e-18
-5.000000e+00   -5.846847e+00   3.348713e-19   3.348713e-19   3.348713e-18   3.348920e-18   1.004614e-18   1.004614e-18
-5.000000e+00   -5.845846e+00   3.358785e-19   3.358785e-19   3.358785e-18   3.358992e-18   1.007635e-18   1.007635e-18
-5.000000e+00   -5.844845e+00   3.368886e-19   3.368886e-19   3.368886e-18   3.369094e-18   1.010666e-18   1.010666e-18
-5.000000e+00   -5.843844e+00   3.379018e-19   3.379018e-19   3.379018e-18   3.379227e-18   1.013706e-18   1.013706e-18
-5.000000e+00   -5.842843e+00   3.389181e-19   3.389181e-19   3.389181e-18   3.389390e-18   1.016754e-18   1.016754e-18
-5.000000e+00   -5.841842e+00   3.399374e-19   3.399374e-19   3.399374e-18   3.399584e-18   1.019812e-18   1.019812e-18
-5.000000e+00   -5.840841e+00   3.409597e-19   3.409597e-19   3.409597e-18   3.409808e-18   1.022879e-18   1.022879e-18
-5.000000e+00   -5.839840e+00   3.419852e-19   3.419852e-19   3.419852e-18   3.420063e-18   1.025956e-18   1.025956e-18
-5.000000e+00   -5.838839e+00   3.430137e-19   3.430137e-19   3.430137e-18   3.430349e-18   1.029041e-18   1.029041e-18
-5.000000e+00   -5.837838e+00   3.440453e-19   3.440453e-19   3.440453e-18   3.440666e-18   1.032136e-18   1.032136e-18
-5.000000e+00   -5.836837e+00   3.450801e-19   3.450801e-19   3.450801e-18   3.451014e-18   1.035240e-18   1.035240e-18
-5.000000e+00   -5.835836e+00   3.461179e-19   3.461179e-19   3.461179e-18   3.461392e-18   1.038354e-18   1.038354e-18
-5.000000e+00   -5.834835e+00   3.471588e-19   3.471588e-19   3.471588e-18   3.471803e-18   1.041477e-18   1.041477e-18
-5.000000e+00   -5.833834e+00   3.482029e-19   3.482029e-19   3.482029e-18   3.482244e-18   1.044609e-18   1.044609e-18
-5.000000e+00   -5.832833e+00   3.492502e-19   3.492502e-19   3.492502e-18   3.492717e-18   1.047750e-18   1.047750e-18
-5.000000e+00   -5.831832e+00   3.503005e-19   3.503005e-19   3.503005e-18   3.503222e-18   1.050902e-18   1.050902e-18
-5.000000e+00   -5.830831e+00   3.513541e-19   3.513541e-19   3.513541e-18   3.513758e-18   1.054062e-18   1.054062e-18
-5.000000e+00   -5.829830e+00   3.524108e-19   3.524108e-19   3.524108e-18   3.524325e-18   1.057232e-18   1.057232e-18
-5.000000e+00   -5.828829e+00   3.534707e-19   3.534707e-19   3.534707e-18   3.534925e-18   1.060412e-18   1.060412e-18
-5.000000e+00   -5.827828e+00   3.545337e-19   3.545337e-19   3.545337e-18   3.545556e-18   1.063601e-18   1.063601e-18
-5.000000e+00   -5.826827e+00   3.556000e-19   3.556000e-19   3.556000e-18   3.556219e-18   1.066800e-18   1.066800e-18
-5.000000e+00   -5.825826e+00   3.566695e-19   3.566695e-19   3.566695e-18   3.566915e-18   1.070008e-18   1.070008e-18
-5.000000e+00   -5.824825e+00   3.577422e-19   3.577422e-19   3.577422e-18   3.577642e-18   1.073226e-18   1.073226e-18
